web_name,gw,shots,player_id
Clyne,1,0.0,196
Lewis-Skelly,1,0.0,597
Forbs,1,0.0,655
Morato,1,0.0,653
Mosquera,1,0.0,558
Toffolo,1,1.0,444
Dewsbury-Hall,1,0.0,166
Coady,1,0.0,288
Sangaré,1,0.0,442
Lavia,1,0.0,174
Reguilón,1,0.0,496
Cornet,1,0.0,515
Mheuka,1,0.0,781
Senesi,1,0.0,79
McTominay,1,0.0,381
Evans,1,0.0,371
Boly,1,1.0,425
Scarlett,1,0.0,500
Butler-Oyedeji,1,0.0,665
Bella-Kotchap,1,0.0,456
Maghoma,1,0.0,674
Amo-Ameyaw,1,1.0,451
Vinicius,1,0.0,258
Agbinone,1,0.0,646
Gray,1,0.0,489
Henderson,1,0.0,201
Patterson,1,0.0,234
Collyer,1,0.0,613
Igor,1,0.0,128
H.Clarke,1,0.0,266
Mubama,1,0.0,698
Gilmour,1,0.0,124
Quansah,1,0.0,333
Woolfenden,1,0.0,284
Orford,1,0.0,701
Amass,1,0.0,670
Webster,1,0.0,147
Tierney,1,0.0,21
Tomiyasu,1,0.0,22
King,1,0.0,604
Khusanov,1,0.0,732
Pedro Lima,1,0.0,561
Bogarde,1,0.0,598
Mudryk,1,0.0,179
Arrizabalaga,1,0.0,152
J.Cuenca,1,0.0,586
Shaw,1,0.0,387
Coleman,1,0.0,221
Armstrong,1,0.0,603
Krafth,1,0.0,405
Thiago,1,0.0,107
Kayode,1,0.0,757
Esse,1,0.0,730
Botman,1,0.0,393
Townsend,1,0.0,583
Podence,1,1.0,562
Konak,1,0.0,97
Fraser,1,0.0,397
Cahill,1,0.0,668
Godo,1,0.0,605
Lankshear,1,0.0,609
Davies,1,0.0,669
I.Osman,1,0.0,127
Alves,1,0.0,606
Gross,1,0.0,125
Onyeka,1,0.0,102
Kporha,1,0.0,666
Toney,1,0.0,108
Pond,1,0.0,664
Samuels,1,0.0,663
Nichols,1,0.0,662
Valdimarsson,1,0.0,109
Yogane,1,0.0,661
Moran,1,0.0,601
Wilson-Esbrand,1,0.0,675
Zanka,1,0.0,112
Baker-Boaitey,1,0.0,114
Barco,1,0.0,116
Fitzgerald,1,0.0,673
Trevitt,1,0.0,602
Simpson-Pusey,1,0.0,672
Wright,1,0.0,671
Jaros,1,0.0,660
Casadei,1,0.0,158
Mepham,1,0.0,72
Bettinelli,1,0.0,155
Neto,1,0.0,73
Paulsen,1,0.0,75
Travers,1,0.0,84
Brierley,1,0.0,87
Dasilva,1,0.0,90
Bergström,1,0.0,154
Flekken,1,0.0,91
B.Badiashile,1,0.0,153
G.Nunes,1,0.0,634
Meupiyou,1,0.0,637
Oulad M'hand,1,0.0,638
Setford,1,0.0,639
Cozier-Duberry,1,0.0,118
Mee,1,0.0,100
Jørgensen,1,0.0,581
Dahoud,1,0.0,119
Ogbene,1,0.0,632
Dixon,1,0.0,627
Kaboré,1,0.0,626
J.Araujo,1,0.0,592
Swinkels,1,0.0,640
Dennis,1,0.0,599
Nelson,1,0.0,10
Rushworth,1,0.0,615
Metcalfe,1,0.0,614
Andrey Santos,1,0.0,150
Ângelo,1,0.0,151
H.Traorè,1,0.0,67
Faivre,1,0.0,66
Begovic,1,0.0,624
Dobbin,1,0.0,37
Diaby,1,0.0,34
Iraola,1,0.0,738
Djiga,1,0.0,769
Barrenechea,1,0.0,30
