web_name,gw,SiB,player_id
Cairney,1,0.0,243
Mheuka,1,,781
Dewsbury-Hall,1,0.0,166
Thomas,1,0.0,20
Álvarez,1,0.0,511
Arrizabalaga,1,0.0,152
Ricardo,1,0.0,302
Collyer,1,0.0,613
Young,1,0.0,656
Boly,1,1.0,425
Cornet,1,0.0,515
Henderson,1,0.0,201
Trippier,1,0.0,418
Senesi,1,0.0,79
Igor,1,0.0,128
Botman,1,0.0,393
Skipp,1,0.0,501
Evans,1,0.0,371
Mubama,1,,698
Krafth,1,0.0,405
Reguilón,1,0.0,496
Scarlett,1,0.0,500
Orford,1,,701
Quansah,1,0.0,333
Moore,1,0.0,610
Woolfenden,1,0.0,284
Tierney,1,0.0,21
Tomiyasu,1,0.0,22
Mudryk,1,0.0,179
Forbs,1,,655
Willian,1,,772
Gómez,1,,714
Coady,1,0.0,288
Lallana,1,0.0,463
Thiago,1,0.0,107
Butler-Oyedeji,1,,665
Coulibaly,1,,726
H.Clarke,1,0.0,266
McTominay,1,0.0,381
Kayode,1,,757
Scarles,1,,677
Jensen,1,0.0,95
Esse,1,,730
King,1,0.0,604
Webster,1,0.0,147
Armstrong,1,0.0,603
Patterson,1,0.0,234
Reed,1,0.0,254
Iroegbunam,1,1.0,226
March,1,0.0,132
Bella-Kotchap,1,0.0,456
Bree,1,0.0,457
Milner,1,0.0,134
Gilmour,1,0.0,124
Dixon,1,,627
G.Nunes,1,,634
Begovic,1,,624
Dahoud,1,0.0,119
Ogbene,1,,632
Gross,1,0.0,125
I.Osman,1,0.0,127
Lankshear,1,0.0,609
Amass,1,,670
Wright,1,,671
Simpson-Pusey,1,,672
Fitzgerald,1,,673
Maghoma,1,,674
Wilson-Esbrand,1,,675
Marsh,1,,676
Nichols,1,,662
Samuels,1,,663
Pond,1,,664
Kporha,1,,666
Fletcher,1,,667
Kaboré,1,,626
Moran,1,0.0,601
Dennis,1,0.0,599
Bogarde,1,0.0,598
J.Araujo,1,0.0,592
Jørgensen,1,0.0,581
Onyeka,1,0.0,102
Mee,1,0.0,100
Konak,1,0.0,97
Alves,1,0.0,606
Godo,1,0.0,605
Trevitt,1,0.0,602
Cahill,1,,668
Barco,1,0.0,116
Baker-Boaitey,1,0.0,114
Zanka,1,0.0,112
Valdimarsson,1,0.0,109
Toney,1,0.0,108
Peart-Harris,1,0.0,103
H.Bueno,1,0.0,549
Gonzalez,1,0.0,547
Fraser,1,0.0,397
Fábio Silva,1,0.0,545
Ahamada,1,0.0,190
Cozier-Duberry,1,0.0,118
Nelson,1,0.0,10
Rushworth,1,0.0,615
Metcalfe,1,0.0,614
Neto,1,0.0,73
Mepham,1,0.0,72
H.Traorè,1,0.0,67
Faivre,1,0.0,66
Swinkels,1,,640
Setford,1,,639
Oulad M'hand,1,,638
Meupiyou,1,,637
Andrey Santos,1,0.0,150
Henry,1,0.0,92
Flekken,1,0.0,91
Dasilva,1,0.0,90
Brierley,1,0.0,87
Travers,1,0.0,84
Paulsen,1,0.0,75
Chilwell,1,0.0,160
Casadei,1,0.0,158
Bettinelli,1,0.0,155
Bergström,1,0.0,154
B.Badiashile,1,0.0,153
Ângelo,1,0.0,151
Hickey,1,0.0,93
Dobbin,1,0.0,37
Diaby,1,0.0,34
Hein,1,0.0,5
Mané,1,,784
Graczyk,1,,783
Samuels-Smith,1,,782
Morgan,1,,780
Koné,1,,779
Moorhouse,1,,778
Jack Henry-Francis,1,,793
Monga,1,,792
Charlie Tasker,1,,791
Yogane,1,,661
Neave,1,,789
Dermot Mee,1,,788
Genesis Antwi,1,,787
Benjamin Fredrick,1,,786
João Cancelo,1,0.0,353
Tom Taylor,1,,800
Boniface,1,,799
Jay Robinson,1,,798
Jake Evans,1,,797
Olabade Aluko,1,,796
Harry Howell,1,,795
Freddie Simmonds,1,,794
Gower,1,,790
Welington,1,,718
Yang,1,,717
Kinsky,1,,716
Godfrey,1,,715
Soler,1,,713
Akinmboni,1,,712
Ajayi,1,,729
Silcott-Duberry,1,,728
McKenna,1,,727
Sherif,1,,724
Sadi,1,,723
Adu-Adjei,1,,722
Gauci,1,0.0,39
Dendoncker,1,0.0,33
Guardiola,1,,736
Arteta,1,,735
Grønbæk,1,,734
Vitor Reis,1,,733
Khusanov,1,,732
A. Garcia,1,,731
Fábio Vieira,1,0.0,1
Marschall,1,0.0,46
Kesler-Hayden,1,0.0,43
Iling Jr,1,0.0,41
Hause,1,0.0,40
Hennessey,1,,721
