web_name,gw,tpa,player_id
Hardy,1,0.0,684
Dobbin,1,0.0,37
Dorrington,1,0.0,699
Samuels-Smith,1,0.0,782
Graczyk,1,0.0,783
Mané,1,0.0,784
Echeverri,1,0.0,785
Rak-Sakyi,1,0.0,695
Cartwright,1,0.0,694
O'Brien-Whitmarsh,1,0.0,693
Benjamin Fredrick,1,0.0,786
Olusesi,1,0.0,683
Jack Henry-Francis,1,0.0,793
Freddie Simmonds,1,0.0,794
Charlie Tasker,1,0.0,791
Gower,1,0.0,790
Amougou,1,0.0,771
Hayden,1,0.0,400
Harry Howell,1,0.0,795
Dúbravka,1,0.0,396
A.Murphy,1,0.0,390
Wilson-Esbrand,1,0.0,675
Boniface,1,0.0,799
Jay Robinson,1,0.0,798
Edozie,1,0.0,459
McConville,1,0.0,681
Kinsey,1,0.0,680
Broggio,1,0.0,679
Olabade Aluko,1,0.0,796
Bates,1,0.0,678
Marsh,1,0.0,676
Tom Taylor,1,0.0,800
Brierley,1,0.0,87
Travers,1,0.0,84
Young,1,0.0,656
Moorhouse,1,0.0,778
Koné,1,0.0,779
Meghoma,1,0.0,649
Wheatley,1,0.0,648
Rodney,1,0.0,647
Morgan,1,0.0,780
Nallo,1,0.0,692
Umeh-Chibueze,1,0.0,644
Emery,1,0.0,737
Dendoncker,1,0.0,33
Casey,1,0.0,643
Diaby,1,0.0,34
Pond,1,0.0,664
Samuels,1,0.0,663
Nichols,1,0.0,662
Yogane,1,0.0,661
Agbinone,1,0.0,646
Genesis Antwi,1,0.0,787
Kukonki,1,0.0,691
Dermot Mee,1,0.0,788
Rees-Dottin,1,0.0,707
Abbott,1,0.0,706
Arthur,1,0.0,705
Brits,1,0.0,704
Alleyne,1,0.0,703
Harris,1,0.0,702
Dasilva,1,0.0,90
Heath,1,0.0,773
King,1,0.0,604
Zych,1,0.0,641
Anselmino,1,0.0,774
Ji-soo,1,0.0,96
Hickey,1,0.0,93
Henry,1,0.0,92
Coby Ebere,1,0.0,775
Flekken,1,0.0,91
Neave,1,0.0,789
Targett,1,0.0,416
Ruddy,1,0.0,414
Pope,1,0.0,413
Odysseas,1,0.0,412
Lewis,1,0.0,355
Lascelles,1,0.0,407
O'Brien,1,0.0,582
O.Richards,1,0.0,438
Mighten,1,0.0,435
Dennis,1,0.0,599
Ozoh,1,0.0,212
Da Silva Moreira,1,0.0,428
C.Miguel,1,0.0,427
Bowler,1,0.0,426
João Cancelo,1,0.0,353
Worrall,1,0.0,448
Ui-jo,1,0.0,446
Turner,1,0.0,445
Sels,1,0.0,443
Panzo,1,0.0,441
Omobamidele,1,0.0,440
Danilo,1,0.0,429
Onana,1,0.0,233
Charles,1,0.0,458
Bazunu,1,0.0,454
J.Alvarez,1,0.0,352
Ederson M.,1,0.0,347
Carson,1,0.0,344
Bobb,1,0.0,343
McCarthy,1,0.0,469
Mara,1,0.0,468
Lumley,1,0.0,466
White,1,0.0,24
Larios,1,0.0,464
Edwards,1,0.0,460
Stolarczyk,1,0.0,304
Souttar,1,0.0,303
Marcal,1,0.0,297
Iversen,1,0.0,294
Hermansen,1,0.0,293
Golding,1,0.0,292
Austin,1,0.0,479
A.Phillips,1,0.0,478
Lis,1,0.0,465
Pereira,1,0.0,751
Potter,1,0.0,750
Postecoglou,1,0.0,749
Rusk,1,0.0,748
Nuno,1,0.0,747
Howe,1,0.0,746
Marschall,1,0.0,46
Cashin,1,0.0,763
Harrison,1,0.0,224
Cassanova,1,0.0,760
Malacia,1,0.0,379
Knight,1,0.0,758
Porter,1,0.0,756
Van Nistelrooy,1,0.0,754
Djiga,1,0.0,769
Barrenechea,1,0.0,30
Raya,1,0.0,15
Ramsdale,1,0.0,14
Hein,1,0.0,5
Fábio Vieira,1,0.0,1
Palmer,1,0.0,182
Eyestone,1,0.0,759
Heaton,1,0.0,374
Hannibal,1,0.0,373
Bayindir,1,0.0,367
Rodrigo,1,0.0,360
Ortega Moreno,1,0.0,358
Kinsky,1,0.0,716
Anthony,1,0.0,61
Aarons,1,0.0,59
Sousa,1,0.0,56
Sinisalo,1,0.0,55
Frank,1,0.0,752
Nedeljkovic,1,0.0,50
Martinez,1,0.0,47
Amorim,1,0.0,745
Slot,1,0.0,744
McKenna,1,0.0,727
Moyes,1,0.0,742
Glasner,1,0.0,741
Maresca,1,0.0,740
Hürzeler,1,0.0,739
Iraola,1,0.0,738
Silva,1,0.0,753
Olsen,1,0.0,51
Deivid,1,0.0,165
