web_name,gw,SoT,player_id
Davies,1,0.0,669
Faes,1,0.0,291
Ricardo,1,0.0,302
Udogie,1,0.0,505
Kamara,1,0.0,42
F.Kadıoğlu,1,,628
Disasi,1,0.0,167
Eriksen,1,0.0,370
André,1,,642
Scarlett,1,0.0,500
Skipp,1,0.0,501
Hughes,1,0.0,203
Bree,1,0.0,457
White,1,1.0,24
Longstaff,1,0.0,410
Vinicius,1,0.0,258
Cajuste,1,,619
Akanji,1,0.0,340
Edouard,1,0.0,198
Chilwell,1,0.0,160
Veltman,1,0.0,145
Webster,1,0.0,147
Boly,1,1.0,425
Y. Chermiti,1,0.0,237
George,1,,696
Sangaré,1,0.0,442
Mings,1,0.0,49
Manning,1,0.0,467
Dragusin,1,0.0,486
Bogarde,1,0.0,598
Butler-Oyedeji,1,,665
Jensen,1,0.0,95
Gray,1,0.0,489
Livramento,1,0.0,409
Diego Carlos,1,0.0,35
Agbadou,1,,720
Smallbone,1,0.0,471
Lewis-Skelly,1,0.0,597
Philip,1,0.0,76
G.Rodríguez,1,0.0,588
Esse,1,,730
Yoro,1,0.0,572
Jebbison,1,0.0,69
Coleman,1,0.0,221
Pedro Lima,1,0.0,561
Brereton Díaz,1,0.0,584
Álvarez,1,0.0,511
H.Clarke,1,0.0,266
Obi,1,,776
Ugochukwu,1,0.0,188
Mheuka,1,,781
Dawson,1,0.0,542
L.Guilherme,1,0.0,526
Kiwior,1,0.0,8
Burgess,1,0.0,263
Burns,1,0.0,264
Coady,1,0.0,288
Renato Veiga,1,0.0,184
Hall,1,0.0,399
Fraser,1,0.0,397
Osula,1,0.0,590
Morato,1,,653
Coulibaly,1,,726
Coufal,1,0.0,516
Mudryk,1,0.0,179
Alves,1,0.0,606
Dixon,1,,627
Ream,1,0.0,253
Ogbene,1,,632
Kaboré,1,,626
Stansfield,1,0.0,256
Benda,1,0.0,242
J.Araujo,1,0.0,592
Harris,1,0.0,702
Godo,1,0.0,605
Leno,1,0.0,248
King,1,0.0,604
Berge,1,,622
Todibo,1,0.0,591
Lankshear,1,0.0,609
Swinkels,1,,640
Jørgensen,1,0.0,581
Moore,1,0.0,610
Meupiyou,1,,637
Collyer,1,0.0,613
Metcalfe,1,0.0,614
Rushworth,1,0.0,615
G.Nunes,1,,634
Setford,1,,639
Nelson,1,0.0,10
Mbabu,1,0.0,250
Townsend,1,0.0,583
Oulad M'hand,1,,638
Begovic,1,,624
Dewsbury-Hall,1,0.0,166
Deivid,1,0.0,165
D.D.Fofana,1,0.0,164
Chukwuemeka,1,0.0,161
B.Traore,1,0.0,534
Zouma,1,0.0,532
N.Aguerd,1,0.0,529
Humphreys,1,0.0,273
Choudhury,1,0.0,287
Cannon,1,0.0,286
B.Soumaré,1,0.0,285
Cresswell,1,0.0,517
Sterling,1,0.0,186
Areola,1,0.0,513
Foderingham,1,0.0,522
Fabianski,1,0.0,521
Bentley,1,0.0,536
Clyne,1,0.0,196
Chadi Riad,1,0.0,195
Podence,1,0.0,562
Wiley,1,0.0,575
Pivas,1,0.0,574
Earthy,1,0.0,519
Paulsen,1,0.0,75
Brierley,1,0.0,87
Cornet,1,0.0,515
Ebiowei,1,0.0,197
Mykolenko,1,0.0,231
Maupay,1,0.0,229
J.Virginia,1,0.0,227
Iroegbunam,1,0.0,226
Holgate,1,0.0,225
Pickford,1,0.0,235
Patterson,1,0.0,234
Fábio Silva,1,0.0,545
Mosquera,1,0.0,558
King,1,0.0,604
Kalajdžić,1,0.0,555
Tuanzebe,1,0.0,282
Muric,1,0.0,568
Sánchez,1,0.0,185
Armstrong,1,0.0,603
Trevitt,1,0.0,602
Moran,1,0.0,601
Hoever,1,0.0,552
Hodge,1,0.0,551
H.Bueno,1,0.0,549
Gonzalez,1,0.0,547
Fraser,1,0.0,397
Woolfenden,1,0.0,284
Walton,1,0.0,283
José Sá,1,0.0,554
Frank,1,,752
Jorginho,1,0.0,7
Hein,1,0.0,5
Fábio Vieira,1,0.0,1
Raya,1,0.0,15
Ramsdale,1,0.0,14
Johnstone,1,0.0,204
Holding,1,0.0,202
Henderson,1,0.0,201
Ward,1,0.0,215
Rak-Sakyi,1,0.0,695
Ozoh,1,0.0,212
Matthews,1,0.0,209
Neto,1,0.0,73
Sousa,1,0.0,56
Sinisalo,1,0.0,55
Olsen,1,0.0,51
Nedeljkovic,1,0.0,50
C.Doucouré,1,0.0,193
Dobbin,1,0.0,37
Diaby,1,0.0,34
Dendoncker,1,0.0,33
Martinez,1,0.0,47
Marschall,1,0.0,46
Kesler-Hayden,1,0.0,43
O'Brien-Whitmarsh,1,,693
Nallo,1,,692
Kukonki,1,,691
Iling Jr,1,0.0,41
Cashin,1,,763
Vitor Reis,1,,733
Khusanov,1,,732
A. Garcia,1,,731
Ajayi,1,,729
Hause,1,0.0,40
Monga,1,,792
Charlie Tasker,1,,791
Gower,1,,790
Neave,1,,789
Dermot Mee,1,,788
Adu-Adjei,1,,722
Hennessey,1,,721
Djiga,1,,769
Mané,1,,784
Graczyk,1,,783
Samuels-Smith,1,,782
Morgan,1,,780
Koné,1,,779
Moorhouse,1,,778
Fredricson,1,,777
Gauci,1,0.0,39
Coby Ebere,1,,775
Anselmino,1,,774
Heath,1,,773
Willian,1,,772
Amougou,1,,771
Harrison,1,,224
Guardiola,1,,736
Davies,1,,669
Cahill,1,,668
Fletcher,1,,667
Kporha,1,,666
Pond,1,,664
Samuels,1,,663
Nichols,1,,662
Yogane,1,,661
Jaros,1,,660
Kabia,1,,659
Heaven,1,,658
Kacurri,1,,657
Umeh-Chibueze,1,,644
Amissah,1,,690
Zych,1,,641
Young,1,,656
Forbs,1,,655
Meghoma,1,,649
Orford,1,,701
King,1,,604
Dorrington,1,,699
Mubama,1,,698
Acheampong,1,,697
Wheatley,1,,648
Rodney,1,,647
Agbinone,1,,646
J.Cuenca,1,0.0,586
Dennis,1,0.0,599
Casey,1,,643
Williams-Barnett,1,,689
Brits,1,,704
Alleyne,1,,703
Harris,1,,702
Slater,1,,685
Hardy,1,,684
Olusesi,1,,683
Edozie,1,,459
McConville,1,,681
Rak-Sakyi,1,,695
Cartwright,1,,694
Scarles,1,,677
Marsh,1,,676
Wilson-Esbrand,1,,675
Amass,1,,670
Fitzgerald,1,,673
Nyoni,1,,688
Winterburn,1,,687
Mayers,1,,686
Tomiyasu,1,0.0,22
Tierney,1,0.0,21
Buendia,1,0.0,31
Anthony,1,0.0,61
Aarons,1,0.0,59
Kinsey,1,,680
Broggio,1,,679
Bates,1,,678
Simpson-Pusey,1,,672
Wright,1,,671
Maghoma,1,,674
Sarmiento,1,0.0,141
Peupion,1,0.0,140
Offiah,1,0.0,139
O’Mahony,1,0.0,138
Moder,1,0.0,137
Arrizabalaga,1,0.0,152
Ângelo,1,0.0,151
Andrey Santos,1,0.0,150
McTominay,1,0.0,381
Malacia,1,0.0,379
Milner,1,0.0,134
Mazilu,1,0.0,133
March,1,0.0,132
Grønbæk,1,,734
Undav,1,0.0,143
Steele,1,0.0,142
Akinmboni,1,,712
Okoduwa,1,,711
Jimoh,1,,710
Danns,1,,709
Wilson-Brown,1,,708
Rees-Dottin,1,,707
Abbott,1,,706
Arthur,1,,705
Tom Taylor,1,,800
Boniface,1,,799
Jay Robinson,1,,798
Kozlowski,1,0.0,130
Harness,1,0.0,271
Evans,1,0.0,371
Marcal,1,0.0,297
Bajcetic,1,0.0,312
A.Becker,1,0.0,310
Ward,1,0.0,215
Thomas,1,0.0,20
Endo,1,0.0,320
Rodrigo,1,0.0,360
Ortega Moreno,1,0.0,358
João Cancelo,1,0.0,353
Bayindir,1,0.0,367
Lindelof,1,0.0,376
Bergström,1,0.0,154
Hannibal,1,0.0,373
B.Badiashile,1,0.0,153
Kelleher,1,0.0,325
R.Williams,1,0.0,334
Quansah,1,0.0,333
N.Phillips,1,0.0,332
Morton,1,0.0,331
McConnell,1,0.0,330
Carson,1,0.0,344
Verbruggen,1,0.0,146
Casadei,1,0.0,158
Broja,1,0.0,156
Bettinelli,1,0.0,155
Heaton,1,0.0,374
Maresca,1,,740
Hürzeler,1,,739
Iraola,1,,738
Emery,1,,737
Silcott-Duberry,1,,728
McKenna,1,,727
Sherif,1,,724
Sadi,1,,723
Barrenechea,1,0.0,30
Alex Moreno,1,0.0,26
Zinchenko,1,0.0,25
Kayi Sanda,1,,719
Welington,1,,718
Jake Evans,1,,797
Kinsky,1,,716
Godfrey,1,,715
Gómez,1,,714
Soler,1,,713
Cassanova,1,,760
Eyestone,1,,759
Knight,1,,758
Kayode,1,,757
Porter,1,,756
Van Nistelrooy,1,,754
Silva,1,,753
N.Gonzalez,1,,765
Palmer,1,,182
Yang,1,,717
Olabade Aluko,1,,796
Harry Howell,1,,795
Freddie Simmonds,1,,794
Jack Henry-Francis,1,,793
Golding,1,0.0,292
Stolarczyk,1,0.0,304
Souttar,1,0.0,303
Genesis Antwi,1,,787
Benjamin Fredrick,1,,786
Echeverri,1,,785
Bobb,1,0.0,343
Aké,1,0.0,341
J.Alvarez,1,0.0,352
Glasner,1,,741
Kristiansen,1,0.0,296
Iversen,1,0.0,294
Hermansen,1,0.0,293
Arteta,1,,735
Pereira,1,,751
Potter,1,,750
Postecoglou,1,,749
Rusk,1,,748
Nuno,1,,747
Howe,1,,746
Amorim,1,,745
Slot,1,,744
McKenna,1,,727
Moyes,1,,742
Ederson M.,1,0.0,347
Charles,1,0.0,458
Whiteman,1,0.0,510
Vicario,1,0.0,508
Veliz,1,0.0,507
Bella-Kotchap,1,0.0,456
Devine,1,0.0,485
Bryan,1,0.0,483
Reguilón,1,0.0,496
Lo Celso,1,0.0,493
Højbjerg,1,0.0,490
Solomon,1,0.0,502
Hickey,1,0.0,93
Henry,1,0.0,92
Al-Hamadi,1,0.0,260
Dasilva,1,0.0,90
Forster,1,0.0,488
E.Royal,1,0.0,487
Worrall,1,0.0,448
Ui-jo,1,0.0,446
Turner,1,0.0,445
Toffolo,1,0.0,444
Sels,1,0.0,443
Panzo,1,0.0,441
Peart-Harris,1,0.0,103
Da Silva Moreira,1,0.0,428
C.Miguel,1,0.0,427
Bowler,1,0.0,426
Flekken,1,0.0,91
Zabarnyi,1,0.0,85
Travers,1,0.0,84
Smith,1,0.0,81
Ji-soo,1,0.0,96
Chirewa,1,0.0,538
Chiquinho,1,0.0,537
Mepham,1,0.0,72
Hill,1,0.0,68
H.Traorè,1,0.0,67
Faivre,1,0.0,66
Senesi,1,0.0,79
Marc Guiu,1,0.0,178
Ahamada,1,0.0,190
Edozie,1,0.0,459
Cundle,1,0.0,540
Chiwome,1,0.0,539
M.Sarr,1,0.0,176
Lukaku,1,0.0,175
Lavia,1,0.0,174
Kellyman,1,0.0,173
Gilchrist,1,0.0,170
Gallagher,1,0.0,169
Petrović,1,0.0,183
Bazunu,1,0.0,454
Amo-Ameyaw,1,0.0,451
Larios,1,0.0,464
Lallana,1,0.0,463
Edwards,1,0.0,460
W.Fofana,1,0.0,189
Lascelles,1,0.0,407
Cozier-Duberry,1,0.0,118
Barco,1,0.0,116
Baker-Boaitey,1,0.0,114
Igor,1,0.0,128
I.Osman,1,0.0,127
Gross,1,0.0,125
Gilmour,1,0.0,124
A.Murphy,1,0.0,390
Onyeka,1,0.0,102
Mee,1,0.0,100
Konak,1,0.0,97
Zanka,1,0.0,112
Omobamidele,1,0.0,440
Toney,1,0.0,108
Thiago,1,0.0,107
Dahoud,1,0.0,119
Edmundson,1,0.0,269
Slicker,1,0.0,280
Ndaba,1,0.0,279
Luongo,1,0.0,277
Ladapo,1,0.0,276
Pellistri,1,0.0,384
Onana,1,0.0,233
Doak,1,0.0,318
Clark,1,0.0,315
Baggott,1,0.0,261
Valdimarsson,1,0.0,109
O'Brien,1,0.0,582
O.Richards,1,0.0,438
Mighten,1,0.0,435
Wood,1,0.0,447
Taylor,1,0.0,281
Stewart,1,0.0,473
Wilson,1,0.0,259
White,1,0.0,24
Trippier,1,0.0,418
Haaland,2,4.0,351
M.Salah,2,2.0,328
Palmer,2,1.0,182
Isak,2,1.0,401
Cunha,2,2.0,541
Semenyo,2,0.0,78
Mbeumo,2,0.0,99
Wissa,2,0.0,110
Watkins,2,1.0,58
Wood,2,2.0,447
N.Jackson,2,1.0,180
Strand Larsen,2,1.0,566
Bowen,2,1.0,514
Raúl,2,0.0,252
Madueke,2,5.0,177
Delap,2,0.0,268
Evanilson,2,2.0,617
Garnacho,2,0.0,372
Kluivert,2,0.0,71
B.Fernandes,2,0.0,366
Luis Díaz,2,2.0,327
Mateta,2,0.0,207
Iwobi,2,2.0,247
Son,2,3.0,503
Eze,2,1.0,199
Mitoma,2,0.0,136
Solanke,2,0.0,82
I.Sarr,2,0.0,585
Vardy,2,0.0,306
Havertz,2,0.0,4
Savinho,2,0.0,571
Szoboszlai,2,0.0,336
Kudus,2,0.0,525
Trossard,2,1.0,23
Saka,2,1.0,17
João Pedro,2,2.0,129
Welbeck,2,2.0,148
Johnson,2,0.0,275
Schade,2,0.0,106
O.Dango,2,0.0,74
Gakpo,2,0.0,321
Rogers,2,0.0,54
Martinelli,2,0.0,9
Muniz,2,2.0,251
Elanga,2,1.0,432
Gordon,2,1.0,398
Enzo,2,0.0,168
Beto,2,0.0,218
Enciso,2,0.0,121
Gibbs-White,2,2.0,433
Hudson-Odoi,2,1.0,434
Calvert-Lewin,2,0.0,220
Maddison,2,1.0,494
Kulusevski,2,0.0,492
Foden,2,0.0,348
Barnes,2,0.0,392
Marmoush,2,,755
Hutchinson,2,0.0,274
Neto,2,0.0,73
Tavernier,2,1.0,83
J.Murphy,2,0.0,402
Ndiaye,2,0.0,232
Duran,2,0.0,38
Rashford,2,0.0,385
Lewis-Potter,2,1.0,98
Onuachu,2,0.0,470
Ødegaard,2,0.0,13
Souček,2,1.0,530
M.Fernandes,2,0.0,623
P.M.Sarr,2,0.0,499
Minteh,2,0.0,135
De Bruyne,2,1.0,345
Diogo J.,2,0.0,317
Mac Allister,2,0.0,329
Amad,2,1.0,364
Joelinton,2,1.0,403
Muñoz,2,0.0,211
Szmodics,2,1.0,611
Jones,2,0.0,324
Nketiah,2,0.0,11
