web_name,gw,npg,player_id
Lerma,1,0.0,206
C.Doucouré,1,0.0,193
Chadi Riad,1,0.0,195
Clyne,1,0.0,196
Petrović,1,0.0,183
Renato Veiga,1,0.0,184
Gallagher,1,0.0,169
Gilchrist,1,0.0,170
Gusto,1,0.0,171
Kellyman,1,0.0,173
Lavia,1,0.0,174
Lukaku,1,0.0,175
Almirón,1,0.0,391
Sánchez,1,0.0,185
Sterling,1,0.0,186
W.Fofana,1,0.0,189
Ahamada,1,0.0,190
Andersen,1,0.0,191
Marc Guiu,1,0.0,178
Mudryk,1,0.0,179
Lewis,1,0.0,355
Botman,1,0.0,393
Dúbravka,1,0.0,396
Fraser,1,0.0,397
Hall,1,0.0,399
Hayden,1,0.0,400
Shaw,1,0.0,387
A.Murphy,1,0.0,390
Odysseas,1,0.0,412
Pope,1,0.0,413
Ruddy,1,0.0,414
Targett,1,0.0,416
Kelly,1,0.0,404
Krafth,1,0.0,405
Kuol,1,0.0,406
Lascelles,1,0.0,407
White,1,0.0,24
Willock,1,0.0,420
Wilson,1,0.0,259
Stewart,1,0.0,473
Taylor,1,0.0,281
Walker-Peters,1,0.0,476
Wood,1,0.0,447
A.Phillips,1,0.0,478
Boly,1,0.0,425
Bowler,1,0.0,426
C.Miguel,1,0.0,427
Da Silva Moreira,1,0.0,428
Danilo,1,0.0,429
Dennis,1,0.0,599
Dominguez,1,0.0,431
Trippier,1,0.0,418
Toffolo,1,0.0,444
Turner,1,0.0,445
Ui-jo,1,0.0,446
Worrall,1,0.0,448
Mighten,1,0.0,435
O.Richards,1,0.0,438
O'Brien,1,0.0,582
Omobamidele,1,0.0,440
M.Sarr,1,0.0,176
Chukwuemeka,1,0.0,161
D.D.Fofana,1,0.0,164
Deivid,1,0.0,165
Dewsbury-Hall,1,0.0,166
Panzo,1,0.0,441
Sangaré,1,0.0,442
Sels,1,0.0,443
Andrey Santos,1,0.0,150
Ângelo,1,0.0,151
Arrizabalaga,1,0.0,152
Moder,1,0.0,137
O’Mahony,1,0.0,138
Offiah,1,0.0,139
Peupion,1,0.0,140
Sarmiento,1,0.0,141
Bergström,1,0.0,154
Bettinelli,1,0.0,155
Broja,1,0.0,156
Casadei,1,0.0,158
Chilwell,1,0.0,160
Veltman,1,0.0,145
Verbruggen,1,0.0,146
Webster,1,0.0,147
Edozie,1,0.0,459
Edwards,1,0.0,460
Lallana,1,0.0,463
Larios,1,0.0,464
Amo-Ameyaw,1,0.0,451
Bazunu,1,0.0,454
Bella-Kotchap,1,0.0,456
B.Badiashile,1,0.0,153
Austin,1,0.0,479
Lis,1,0.0,465
Lumley,1,0.0,466
Manning,1,0.0,467
Mara,1,0.0,468
McCarthy,1,0.0,469
Bree,1,0.0,457
Charles,1,0.0,458
Dragusin,1,0.0,486
E.Royal,1,0.0,487
Forster,1,0.0,488
Chiquinho,1,0.0,537
Chirewa,1,0.0,538
Chiwome,1,0.0,539
Cundle,1,0.0,540
Dawson,1,0.0,542
Gray,1,0.0,489
Højbjerg,1,0.0,490
Lo Celso,1,0.0,493
Reguilón,1,0.0,496
Bergvall,1,0.0,481
Bryan,1,0.0,483
Davies,1,0.0,669
Devine,1,0.0,485
Veliz,1,0.0,507
Vicario,1,0.0,508
Werner,1,0.0,509
Whiteman,1,0.0,510
Álvarez,1,0.0,511
Scarlett,1,0.0,500
Skipp,1,0.0,501
Solomon,1,0.0,502
Steele,1,0.0,142
Undav,1,0.0,143
Kozlowski,1,0.0,130
March,1,0.0,132
Mazilu,1,0.0,133
Milner,1,0.0,134
Udogie,1,0.0,505
Van de Ven,1,0.0,506
Dunk,1,0.0,120
Roerslev,1,0.0,105
Thiago,1,0.0,107
Toney,1,0.0,108
Valdimarsson,1,0.0,109
Yarmoliuk,1,0.0,111
Zanka,1,0.0,112
Konak,1,0.0,97
Gilmour,1,0.0,124
Gross,1,0.0,125
I.Osman,1,0.0,127
Igor,1,0.0,128
Baker-Boaitey,1,0.0,114
Barco,1,0.0,116
Cozier-Duberry,1,0.0,118
Dahoud,1,0.0,119
Kilman,1,0.0,524
L.Guilherme,1,0.0,526
Mavropanos,1,0.0,528
Areola,1,0.0,513
Cornet,1,0.0,515
Coufal,1,0.0,516
Cresswell,1,0.0,517
Earthy,1,0.0,519
Doyle,1,0.0,544
N.Aguerd,1,0.0,529
Ward-Prowse,1,0.0,531
Zouma,1,0.0,532
B.Traore,1,0.0,534
Bentley,1,0.0,536
Fabianski,1,0.0,521
Foderingham,1,0.0,522
Dasilva,1,0.0,90
Flekken,1,0.0,91
Henry,1,0.0,92
Hickey,1,0.0,93
Jensen,1,0.0,95
Ji-soo,1,0.0,96
Smith,1,0.0,81
Travers,1,0.0,84
Mosquera,1,0.0,558
N.Semedo,1,0.0,559
Fábio Silva,1,0.0,545
Fraser,1,0.0,397
Gonzalez,1,0.0,547
H.Bueno,1,0.0,549
Hodge,1,0.0,551
Hoever,1,0.0,552
Pedro Lima,1,0.0,561
Podence,1,0.0,562
S.Bueno,1,0.0,564
Toti,1,0.0,567
Muric,1,0.0,568
José Sá,1,0.0,554
