web_name,gw,SoT
O'Brien-Whitmarsh,1,
Nallo,1,
Kukonki,1,
Iling Jr,1,0
Cashin,1,
Vitor Reis,1,
Khusanov,1,
A. Garcia,1,
Ajayi,1,
Hause,1,0
Monga,1,
Charlie Tasker,1,
Gower,1,
Neave,1,
Dermot Mee,1,
Adu-Adjei,1,
Hennessey,1,
Djiga,1,
Mané,1,
Graczyk,1,
Samuels-Smith,1,
Morgan,1,
Koné,1,
Moorhouse,1,
Fredricson,1,
Gauci,1,0
Coby Ebere,1,
Anselmino,1,
Heath,1,
Willian,1,
Amougou,1,
Harrison,1,
Guardiola,1,
Davies,1,
Cahill,1,
Fletcher,1,
Kporha,1,
Pond,1,
Samuels,1,
Nichols,1,
Yogane,1,
Jaros,1,
Kabia,1,
Heaven,1,
Kacurri,1,
Umeh-Chibueze,1,
Amissah,1,
Zych,1,
Young,1,
Forbs,1,
Meghoma,1,
Orford,1,
King,1,
Dorrington,1,
Mubama,1,
Acheampong,1,
Wheatley,1,
Rodney,1,
Agbinone,1,
J.Cuenca,1,0
Dennis,1,0
Casey,1,
Williams-Barnett,1,
Brits,1,
Alleyne,1,
Harris,1,
Slater,1,
Hardy,1,
Olusesi,1,
Edozie,1,
McConville,1,
Rak-Sakyi,1,
Cartwright,1,
Scarles,1,
Marsh,1,
Wilson-Esbrand,1,
Amass,1,
Fitzgerald,1,
Nyoni,1,
Winterburn,1,
Mayers,1,
Tomiyasu,1,0
Tierney,1,0
Buendia,1,0
Anthony,1,0
Aarons,1,0
Kinsey,1,
Broggio,1,
Bates,1,
Simpson-Pusey,1,
Wright,1,
Maghoma,1,
Sarmiento,1,0
Peupion,1,0
Offiah,1,0
O’Mahony,1,0
Moder,1,0
Arrizabalaga,1,0
Ângelo,1,0
Andrey Santos,1,0
McTominay,1,0
Malacia,1,0
Milner,1,0
Mazilu,1,0
March,1,0
Grønbæk,1,
Undav,1,0
Steele,1,0
Akinmboni,1,
Okoduwa,1,
Jimoh,1,
Danns,1,
Wilson-Brown,1,
Rees-Dottin,1,
Abbott,1,
Arthur,1,
Tom Taylor,1,
Boniface,1,
Jay Robinson,1,
Kozlowski,1,0
Harness,1,0
Evans,1,0
Marcal,1,0
Bajcetic,1,0
A.Becker,1,0
Ward,1,0
Thomas,1,0
Endo,1,0
Rodrigo,1,0
Ortega Moreno,1,0
João Cancelo,1,0
Bayindir,1,0
Lindelof,1,0
Bergström,1,0
Hannibal,1,0
B.Badiashile,1,0
Kelleher,1,0
R.Williams,1,0
Quansah,1,0
N.Phillips,1,0
Morton,1,0
McConnell,1,0
Carson,1,0
Verbruggen,1,0
Casadei,1,0
Broja,1,0
Bettinelli,1,0
Heaton,1,0
Maresca,1,
Hürzeler,1,
Iraola,1,
Emery,1,
Silcott-Duberry,1,
McKenna,1,
Sherif,1,
Sadi,1,
Barrenechea,1,0
Alex Moreno,1,0
Zinchenko,1,0
Kayi Sanda,1,
Welington,1,
Jake Evans,1,
Kinsky,1,
Godfrey,1,
Gómez,1,
Soler,1,
Cassanova,1,
Eyestone,1,
Knight,1,
Kayode,1,
Porter,1,
Van Nistelrooy,1,
Silva,1,
N.Gonzalez,1,
Palmer,1,
Yang,1,
Olabade Aluko,1,
Harry Howell,1,
Freddie Simmonds,1,
Jack Henry-Francis,1,
Golding,1,0
Stolarczyk,1,0
Souttar,1,0
Genesis Antwi,1,
Benjamin Fredrick,1,
Echeverri,1,
Bobb,1,0
Aké,1,0
J.Alvarez,1,0
Glasner,1,
Kristiansen,1,0
Iversen,1,0
Hermansen,1,0
Arteta,1,
Pereira,1,
Potter,1,
Postecoglou,1,
Rusk,1,
Nuno,1,
Howe,1,
Amorim,1,
Slot,1,
McKenna,1,
Moyes,1,
Ederson M.,1,0
Charles,1,0
Whiteman,1,0
Vicario,1,0
Veliz,1,0
Bella-Kotchap,1,0
Devine,1,0
Bryan,1,0
Reguilón,1,0
Lo Celso,1,0
Højbjerg,1,0
Solomon,1,0
Hickey,1,0
Henry,1,0
Al-Hamadi,1,0
Dasilva,1,0
Forster,1,0
E.Royal,1,0
Worrall,1,0
Ui-jo,1,0
Turner,1,0
Toffolo,1,0
Sels,1,0
Panzo,1,0
Peart-Harris,1,0
Da Silva Moreira,1,0
C.Miguel,1,0
Bowler,1,0
Flekken,1,0
Zabarnyi,1,0
Travers,1,0
Smith,1,0
Ji-soo,1,0
Chirewa,1,0
Chiquinho,1,0
Mepham,1,0
Hill,1,0
H.Traorè,1,0
Faivre,1,0
Senesi,1,0
Marc Guiu,1,0
Ahamada,1,0
Edozie,1,0
Cundle,1,0
Chiwome,1,0
M.Sarr,1,0
Lukaku,1,0
Lavia,1,0
Kellyman,1,0
Gilchrist,1,0
Gallagher,1,0
Petrović,1,0
Bazunu,1,0
Amo-Ameyaw,1,0
Larios,1,0
Lallana,1,0
Edwards,1,0
W.Fofana,1,0
Lascelles,1,0
Cozier-Duberry,1,0
Barco,1,0
Baker-Boaitey,1,0
Igor,1,0
I.Osman,1,0
Gross,1,0
Gilmour,1,0
A.Murphy,1,0
Onyeka,1,0
Mee,1,0
Konak,1,0
Zanka,1,0
Omobamidele,1,0
Toney,1,0
Thiago,1,0
Dahoud,1,0
Edmundson,1,0
Slicker,1,0
Ndaba,1,0
Luongo,1,0
Ladapo,1,0
Pellistri,1,0
Onana,1,0
Doak,1,0
Clark,1,0
Baggott,1,0
Valdimarsson,1,0
O'Brien,1,0
O.Richards,1,0
Mighten,1,0
Wood,1,0
Taylor,1,0
Stewart,1,0
Wilson,1,0
White,1,0
Trippier,1,0
Haaland,2,4
M.Salah,2,2
Palmer,2,1
Isak,2,1
Cunha,2,2
Semenyo,2,0
Mbeumo,2,0
Wissa,2,0
Watkins,2,1
Wood,2,2
N.Jackson,2,1
Strand Larsen,2,1
Bowen,2,1
Raúl,2,0
Madueke,2,5
Delap,2,0
Evanilson,2,2
Garnacho,2,0
Kluivert,2,0
B.Fernandes,2,0
Luis Díaz,2,2
Mateta,2,0
Iwobi,2,2
Son,2,3
Eze,2,1
Mitoma,2,0
Solanke,2,0
I.Sarr,2,0
Vardy,2,0
Havertz,2,0
Savinho,2,0
Szoboszlai,2,0
Kudus,2,0
Trossard,2,1
Saka,2,1
João Pedro,2,2
Welbeck,2,2
Johnson,2,0
Schade,2,0
O.Dango,2,0
Gakpo,2,0
Rogers,2,0
Martinelli,2,0
Muniz,2,2
Elanga,2,1
Gordon,2,1
Enzo,2,0
Beto,2,0
Enciso,2,0
Gibbs-White,2,2
Hudson-Odoi,2,1
Calvert-Lewin,2,0
Maddison,2,1
Kulusevski,2,0
Foden,2,0
Barnes,2,0
Marmoush,2,
Hutchinson,2,0
Neto,2,0
Tavernier,2,1
J.Murphy,2,0
Ndiaye,2,0
Duran,2,0
Rashford,2,0
Lewis-Potter,2,1
Onuachu,2,0
Ødegaard,2,0
Souček,2,1
M.Fernandes,2,0
P.M.Sarr,2,0
Minteh,2,0
De Bruyne,2,1
