player_id,web_name,team_id,element_type,points_per_game,total_points,minutes,starts,goals_scored,assists,yellow_cards,red_cards,clean_sheets,goals_conceded,saves,bps,penalties_saved,penalties_missed,own_goals,goals_conceded_per_90,xG,xA,xGC,xGI,xG_per90,xA_per90,xGC_per90,xGI_per90
291,tarkowski,9,2,3.2,105,2922,33,1,1,6,0,10,38,0,468,0,0,0,1.17,1.32,2.33,39.3,3.65,0.04,0.07,1.21,0.11
292,mykolenko,9,2,3.5,121,3082,35,1,3,4,0,11,39,0,467,0,0,0,1.14,0.48,2.12,39.81,2.6,0.01,0.06,1.16,0.07
293,obrien,9,2,3.2,65,1568,17,2,0,5,0,5,17,0,233,0,0,0,0.98,0.77,0.31,18.63,1.08,0.04,0.02,1.07,0.06
294,coleman,9,2,1.0,5,214,3,0,0,1,0,0,4,0,17,0,0,0,1.68,0.62,0.03,4.45,0.65,0.26,0.01,1.87,0.27
295,keane,9,2,3.4,48,1046,11,3,0,5,0,3,20,0,139,0,0,0,1.72,0.61,0.02,19.16,0.63,0.05,0.0,1.65,0.05
296,patterson,9,2,1.4,14,342,3,0,1,1,0,0,6,0,47,0,0,0,1.58,0.07,0.38,4.48,0.45,0.02,0.1,1.18,0.12
297,dixon,9,2,0.0,0,90,1,0,0,0,0,0,4,0,0,0,0,0,4.0,0.0,0.0,2.43,0.0,0.0,0.0,2.43,0.0
298,welch,9,2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
299,ndiaye,9,3,3.5,114,2426,29,9,0,3,0,15,24,0,552,0,0,0,0.89,6.23,1.36,29.01,7.59,0.23,0.05,1.08,0.28
300,mcneil,9,3,4.4,93,1366,15,4,8,1,0,5,24,0,401,0,0,0,1.58,1.05,4.49,21.12,5.53,0.07,0.3,1.39,0.37
301,alcaraz,9,3,2.8,44,766,7,2,3,4,0,1,9,0,191,0,0,0,1.06,1.78,0.68,11.33,2.46,0.21,0.08,1.33,0.29
302,gana,9,3,2.4,89,3063,35,0,3,9,0,12,39,0,505,0,0,0,1.15,1.15,1.99,39.88,3.14,0.03,0.06,1.17,0.09
303,garner,9,3,2.0,42,1590,17,0,1,5,0,5,19,0,244,0,0,0,1.08,0.67,1.37,19.71,2.04,0.04,0.08,1.12,0.12
304,iroegbunam,9,3,1.2,22,562,5,0,1,4,0,0,16,0,82,0,0,0,2.56,0.23,0.14,12.25,0.37,0.04,0.02,1.96,0.06
305,armstrong,9,3,0.7,2,47,0,0,0,1,0,0,1,0,1,0,0,0,1.91,0.37,0.0,0.45,0.37,0.71,0.0,0.86,0.71
306,bates,9,3,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
307,ebere,9,3,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
308,heath,9,3,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
309,metcalfe,9,3,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
