web_name,gw,shots,player_id
Slater,1,,685
Hardy,1,,684
Olusesi,1,,683
Edozie,1,,459
McConville,1,,681
Kinsey,1,,680
Jimoh,1,,710
Cartwright,1,,694
O'Brien-Whitmarsh,1,,693
Nallo,1,,692
Kukonki,1,,691
Amissah,1,,690
Williams-Barnett,1,,689
Nyoni,1,,688
Alleyne,1,,703
Harris,1,,702
Dorrington,1,,699
Okoduwa,1,,711
Rak-Sakyi,1,,695
J.Alvarez,1,0,352
Ederson M.,1,0,347
Carson,1,0,344
Bobb,1,0,343
R.Williams,1,0,334
Kuol,1,0,406
Hayden,1,0,400
Dúbravka,1,0,396
A.Murphy,1,0,390
Golding,1,0,292
Targett,1,0,416
Ângelo,1,0,151
Pope,1,0,413
Odysseas,1,0,412
Lascelles,1,0,407
Stolarczyk,1,0,304
Souttar,1,0,303
Marcal,1,0,297
Iversen,1,0,294
Hermansen,1,0,293
Barrenechea,1,0,30
Iraola,1,,738
Ruddy,1,0,414
Doak,1,0,318
Clark,1,0,315
Bajcetic,1,0,312
A.Becker,1,0,310
Ward,1,0,215
O.Richards,1,0,438
Mighten,1,0,435
Danilo,1,0,429
Da Silva Moreira,1,0,428
C.Miguel,1,0,427
Worrall,1,0,448
Ui-jo,1,0,446
Turner,1,0,445
Sels,1,0,443
Panzo,1,0,441
Omobamidele,1,0,440
Ladapo,1,0,276
Humphreys,1,0,273
Harness,1,0,271
Edmundson,1,0,269
Baggott,1,0,261
Bowler,1,0,426
Cassanova,1,,760
Eyestone,1,,759
Knight,1,,758
Raya,1,0,15
Ramsdale,1,0,14
Hein,1,0,5
Fábio Vieira,1,0,1
Clarke,1,,801
Freddie Simmonds,1,,794
Nedeljkovic,1,0,50
Hürzeler,1,,739
Emery,1,,737
Hennessey,1,,721
Benjamin Fredrick,1,,786
Echeverri,1,,785
Mané,1,,784
Graczyk,1,,783
Samuels-Smith,1,,782
Morgan,1,,780
Koné,1,,779
Moorhouse,1,,778
Fredricson,1,,777
Coby Ebere,1,,775
N.Phillips,1,0,332
Anthony,1,0,61
Aarons,1,0,59
Sousa,1,0,56
Sinisalo,1,0,55
Olsen,1,0,51
Nuno,1,,747
Howe,1,,746
Amorim,1,,745
Slot,1,,744
Moyes,1,,742
Maresca,1,,740
Porter,1,,756
Van Nistelrooy,1,,754
Silva,1,,753
Frank,1,,752
Pereira,1,,751
Potter,1,,750
Postecoglou,1,,749
Rusk,1,,748
Heath,1,,773
Cashin,1,,763
Glasner,1,,741
Lukaku,1,0,175
Kellyman,1,0,173
Gilchrist,1,0,170
Gallagher,1,0,169
Deivid,1,0,165
Areola,1,0,513
Ahamada,1,0,190
Sánchez,1,0,185
Petrović,1,0,183
Marc Guiu,1,0,178
Zouma,1,0,532
Endo,1,0,320
Foderingham,1,0,522
Fabianski,1,0,521
Earthy,1,0,519
Fábio Silva,1,0,545
Cundle,1,0,540
Chiwome,1,0,539
Chirewa,1,0,538
Chiquinho,1,0,537
Bentley,1,0,536
B.Traore,1,0,534
N.Aguerd,1,0,529
José Sá,1,0,554
Hoever,1,0,552
Hodge,1,0,551
H.Bueno,1,0,549
Gonzalez,1,0,547
Mazilu,1,0,133
Kozlowski,1,0,130
Wiley,1,0,575
Pivas,1,0,574
Muric,1,0,568
Undav,1,0,143
M.Sarr,1,0,176
Sarmiento,1,0,141
Peupion,1,0,140
Offiah,1,0,139
O’Mahony,1,0,138
Moder,1,0,137
Bettinelli,1,0,155
Bergström,1,0,154
B.Badiashile,1,0,153
Anselmino,1,,774
Andrey Santos,1,0,150
Verbruggen,1,0,146
Steele,1,0,142
Walton,1,0,283
Slicker,1,0,280
Ndaba,1,0,279
Luongo,1,0,277
Larios,1,0,464
Edwards,1,0,460
Charles,1,0,458
Bazunu,1,0,454
Austin,1,0,479
A.Phillips,1,0,478
Ebiowei,1,0,197
McCarthy,1,0,469
Mara,1,0,468
Lumley,1,0,466
Lis,1,0,465
Benda,1,0,242
Pickford,1,0,235
Maupay,1,0,229
J.Virginia,1,0,227
Holgate,1,0,225
Chadi Riad,1,0,195
Stansfield,1,0,256
Ream,1,0,253
Mbabu,1,0,250
Leno,1,0,248
Ozoh,1,0,212
Matthews,1,0,209
Johnstone,1,0,204
Holding,1,0,202
Cannon,1,0,286
Højbjerg,1,0,490
Forster,1,0,488
E.Royal,1,0,487
Devine,1,0,485
Bryan,1,0,483
D.D.Fofana,1,0,164
Chukwuemeka,1,0,161
Whiteman,1,0,510
Vicario,1,0,508
Veliz,1,0,507
Solomon,1,0,502
Choudhury,1,0,287
M.Salah,2,3,328
Palmer,2,5,182
Semenyo,2,7,78
Haaland,2,7,351
Cunha,2,4,541
Eze,2,5,199
Isak,2,5,401
Raúl,2,0,252
B.Fernandes,2,1,366
Garnacho,2,1,372
Wissa,2,0,110
Watkins,2,2,58
Bowen,2,1,514
Mbeumo,2,1,99
Madueke,2,6,177
N.Jackson,2,1,180
Trossard,2,3,23
Kudus,2,2,525
Evanilson,2,3,617
Delap,2,0,268
Luis Díaz,2,3,327
Iwobi,2,2,247
Szoboszlai,2,1,336
O.Dango,2,1,74
Mateta,2,1,207
Kluivert,2,1,71
Solanke,2,0,82
Saka,2,1,17
Wood,2,3,447
Gordon,2,2,398
Son,2,3,503
Barnes,2,1,392
Vardy,2,0,306
Savinho,2,0,571
Neto,2,0,73
Mitoma,2,0,136
Johnson,2,1,275
Gibbs-White,2,4,433
Rogers,2,3,54
Strand Larsen,2,2,566
Welbeck,2,3,148
Havertz,2,1,4
Foden,2,0,348
Souček,2,3,530
Gakpo,2,1,321
Enzo,2,0,168
Georginio,2,0,618
I.Sarr,2,1,585
Tavernier,2,2,83
Schade,2,0,106
De Bruyne,2,4,345
Martinelli,2,0,9
Diogo J.,2,4,317
Calvert-Lewin,2,1,220
João Pedro,2,3,129
Enciso,2,1,121
Kulusevski,2,0,492
Joelinton,2,1,403
Rice,2,1,16
Ødegaard,2,1,13
Amad,2,2,364
Alexander-Arnold,2,2,311
J.Murphy,2,0,402
Baleba,2,0,115
Kovačić,2,0,354
Muniz,2,7,251
Elanga,2,2,432
L.Paquetá,2,3,527
Beto,2,0,218
M.Fernandes,2,0,623
Maddison,2,3,494
Tielemans,2,0,57
Bruno G.,2,2,394
Nketiah,2,0,11
Mac Allister,2,0,329
Marmoush,2,,755
Hudson-Odoi,2,1,434
Anderson,2,2,423
Adama,2,3,239
Pedro Porro,2,1,495
N.Williams,2,5,437
Gvardiol,2,0,350
Hutchinson,2,0,274
Andreas,2,2,240
Nørgaard,2,1,101
Rashford,2,0,385
Smith Rowe,2,2,19
Onuachu,2,0,470
Buonanotte,2,0,117
Ndiaye,2,1,232
Aït-Nouri,2,1,533
Muñoz,2,0,211
Darwin,2,0,316
Christie,2,0,63
J.Gomes,2,1,553
Damsgaard,2,0,89
Merino,2,,633
Yates,2,1,449
P.M.Sarr,2,0,499
Wilson,2,0,259
Tonali,2,0,417
Duran,2,1,38
Schär,2,0,415
Jones,2,0,324
Minteh,2,2,135
J.Ayew,2,1,192
A.Doucoure,2,1,217
Lacroix,2,,650
Archer,2,0,27
El Khannouss,2,,635
Dibling,2,0,608
Casemiro,2,3,368
Bailey,2,1,28
Lindstrøm,2,1,577
Bernardo,2,1,342
Zirkzee,2,0,389
Lewis-Potter,2,2,98
Harrison,2,2,224
Gana,2,0,222
Milenković,2,3,573
McGinn,2,0,48
Adingra,2,1,113
Armstrong,2,1,603
Kamaldeen,2,0,462
Mavididi,2,0,298
Virgil,2,1,339
Højlund,2,0,375
Ayari,2,1,600
Gündogan,2,0,625
Nkunku,2,0,181
Doku,2,0,346
Sancho,2,0,386
Justin,2,0,295
Lerma,2,1,206
C.Soler,2,,654
McNeil,2,1,230
Murillo,2,0,436
Dalot,2,1,369
Tete,2,2,257
Thomas,2,2,20
Estupiñan,2,0,122
Nwaneri,2,0,12
Bentancur,2,0,480
Brooks,2,0,62
Gusto,2,0,171
Ndidi,2,1,300
Jota Silva,2,0,596
Gabriel,2,0,3
Cucurella,2,0,163
Szmodics,2,1,611
Tel,2,,768
G.Jesus,2,0,2
O'Shea,2,,630
Alcaraz,2,0,450
Harwood-Bellis,2,0,461
O'Riley,2,,629
Walker-Peters,2,3,476
Kamada,2,0,205
Hughes,2,0,203
Bellegarde,2,0,535
João Félix,2,2,621
Guedes,2,0,548
Jaden,2,0,569
Ugarte,2,,652
Antonio,2,2,512
Enes Ünal,2,0,65
M.Asensio,2,,762
Ramsey,2,1,53
Andersen,2,0,191
Rúben,2,0,361
Burn,2,2,395
Konaté,2,2,326
Gravenberch,2,0,323
Caicedo,2,0,157
Mavropanos,2,0,528
Dominguez,2,1,431
De Ligt,2,0,593
Mario Jr.,2,1,557
Richarlison,2,0,497
Chalobah,2,0,159
Huijsen,2,0,580
Kerkez,2,0,70
Martinez,2,0,47
Collins,2,2,88
Onana,2,2,233
Willock,2,1,420
