web_name,gw,npxgi,player_id
Gross,1,0.0,125
Iraola,1,,738
Swinkels,1,,640
Setford,1,,639
Oulad M'hand,1,,638
Meupiyou,1,,637
G.Nunes,1,,634
Porter,1,,756
Dixon,1,,627
Lankshear,1,0.0,609
Silcott-Duberry,1,,728
Clarke,1,,801
Kesler-Hayden,1,0.0,43
Iling Jr,1,0.0,41
Hause,1,0.0,40
Gauci,1,0.0,39
Dobbin,1,0.0,37
Diaby,1,0.0,34
Dendoncker,1,0.0,33
O'Brien-Whitmarsh,1,,693
Genesis Antwi,1,,787
Benjamin Fredrick,1,,786
Echeverri,1,,785
Mané,1,,784
Graczyk,1,,783
Samuels-Smith,1,,782
Amougou,1,,771
Olabade Aluko,1,,796
Harry Howell,1,,795
Freddie Simmonds,1,,794
Fábio Vieira,1,0.0,1
Ramsdale,1,0.0,14
Godfrey,1,,715
Soler,1,,713
Akinmboni,1,,712
Okoduwa,1,,711
Jimoh,1,,710
Danns,1,,709
McKenna,1,,727
Coulibaly,1,,726
Sherif,1,,724
Ajayi,1,,729
Adu-Adjei,1,,722
Hennessey,1,,721
Kayi Sanda,1,,719
Welington,1,,718
Guardiola,1,,736
Arteta,1,,735
Raya,1,0.0,15
Vitor Reis,1,,733
Barrenechea,1,0.0,30
Djiga,1,,769
Sadi,1,,723
McConville,1,,681
Kinsey,1,,680
Broggio,1,,679
Bates,1,,678
Coby Ebere,1,,775
Marsh,1,,676
Kukonki,1,,691
Amissah,1,,690
Williams-Barnett,1,,689
Jack Henry-Francis,1,,793
Winterburn,1,,687
Mayers,1,,686
Slater,1,,685
Hardy,1,,684
Dorrington,1,,699
Mubama,1,,698
Fredricson,1,,777
Rak-Sakyi,1,,695
Cartwright,1,,694
Nyoni,1,,688
Monga,1,,792
Charlie Tasker,1,,791
Gower,1,,790
Neave,1,,789
Heath,1,,773
Dúbravka,1,0.0,396
Botman,1,0.0,393
A.Murphy,1,0.0,390
Tom Taylor,1,,800
Boniface,1,,799
Jake Evans,1,,797
Marschall,1,0.0,46
Pope,1,0.0,413
Odysseas,1,0.0,412
Lascelles,1,0.0,407
Kuol,1,0.0,406
Anselmino,1,,774
Hayden,1,0.0,400
Olusesi,1,,683
Jay Robinson,1,,798
Holgate,1,0.0,225
Whiteman,1,0.0,510
Vicario,1,0.0,508
Veliz,1,0.0,507
Solomon,1,0.0,502
Scarlett,1,0.0,500
Sinisalo,1,0.0,55
Sousa,1,0.0,56
J.Alvarez,1,0.0,352
B.Badiashile,1,0.0,153
Aarons,1,0.0,59
Anthony,1,0.0,61
R.Williams,1,0.0,334
Emery,1,,737
N.Phillips,1,0.0,332
Lumley,1,0.0,466
Lis,1,0.0,465
Larios,1,0.0,464
Edwards,1,0.0,460
Dermot Mee,1,,788
Carson,1,0.0,344
Baggott,1,0.0,261
Howe,1,,746
Endo,1,0.0,320
Doak,1,0.0,318
Clark,1,0.0,315
Cannon,1,0.0,286
Woolfenden,1,0.0,284
Walton,1,0.0,283
Slicker,1,0.0,280
Ndaba,1,0.0,279
J.Virginia,1,0.0,227
Ladapo,1,0.0,276
Humphreys,1,0.0,273
Lo Celso,1,0.0,493
Højbjerg,1,0.0,490
Nedeljkovic,1,0.0,50
Forster,1,0.0,488
E.Royal,1,0.0,487
Devine,1,0.0,485
Bryan,1,0.0,483
Olsen,1,0.0,51
Luongo,1,0.0,277
Rodrigo,1,0.0,360
Ortega Moreno,1,0.0,358
João Cancelo,1,0.0,353
Targett,1,0.0,416
C.Miguel,1,0.0,427
Bowler,1,0.0,426
Kelleher,1,0.0,325
Pellistri,1,0.0,384
Charles,1,0.0,458
Morton,1,0.0,331
Lindelof,1,0.0,376
Panzo,1,0.0,441
Omobamidele,1,0.0,440
O.Richards,1,0.0,438
Mighten,1,0.0,435
Dennis,1,0.0,599
Danilo,1,0.0,429
Da Silva Moreira,1,0.0,428
McConnell,1,0.0,330
Sels,1,0.0,443
Bazunu,1,0.0,454
Hermansen,1,0.0,293
Golding,1,0.0,292
Austin,1,0.0,479
A.Phillips,1,0.0,478
Toffolo,1,0.0,444
Turner,1,0.0,445
McCarthy,1,0.0,469
Mara,1,0.0,468
Bayindir,1,0.0,367
Ward,1,0.0,215
Ui-jo,1,0.0,446
Stolarczyk,1,0.0,304
Souttar,1,0.0,303
Ricardo,1,0.0,302
Marcal,1,0.0,297
Iversen,1,0.0,294
Heaton,1,0.0,374
Hannibal,1,0.0,373
Worrall,1,0.0,448
Bajcetic,1,0.0,312
Deivid,1,0.0,165
D.D.Fofana,1,0.0,164
Chukwuemeka,1,0.0,161
Postecoglou,1,,749
Fábio Silva,1,0.0,545
Ahamada,1,0.0,190
Sánchez,1,0.0,185
Potter,1,,750
Amorim,1,,745
Marc Guiu,1,0.0,178
M.Sarr,1,0.0,176
Lukaku,1,0.0,175
Kalajdžić,1,0.0,555
Pereira,1,,751
Hoever,1,0.0,552
Hodge,1,0.0,551
H.Bueno,1,0.0,549
Gonzalez,1,0.0,547
Petrović,1,0.0,183
Ângelo,1,0.0,151
Andrey Santos,1,0.0,150
Cashin,1,,763
J.Araujo,1,0.0,592
Hein,1,0.0,5
Nuno,1,,747
J.Cuenca,1,0.0,586
Gallagher,1,0.0,169
Peart-Harris,1,0.0,103
Onyeka,1,0.0,102
Mee,1,0.0,100
Rusk,1,,748
Alves,1,0.0,606
Godo,1,0.0,605
Trevitt,1,0.0,602
Moran,1,0.0,601
Kellyman,1,0.0,173
Gilchrist,1,0.0,170
Jørgensen,1,0.0,581
Areola,1,0.0,513
Stansfield,1,0.0,256
Ebiowei,1,0.0,197
Chadi Riad,1,0.0,195
Cundle,1,0.0,540
Chiwome,1,0.0,539
Chirewa,1,0.0,538
Chiquinho,1,0.0,537
Bentley,1,0.0,536
Ozoh,1,0.0,212
Matthews,1,0.0,209
Moyes,1,,742
Johnstone,1,0.0,204
Holding,1,0.0,202
Slot,1,,744
Harness,1,0.0,271
Edmundson,1,0.0,269
B.Traore,1,0.0,534
Frank,1,,752
Mazilu,1,0.0,133
Kozlowski,1,0.0,130
Wiley,1,0.0,575
Pivas,1,0.0,574
Muric,1,0.0,568
Podence,1,0.0,562
Silva,1,,753
Ream,1,0.0,253
Mbabu,1,0.0,250
Glasner,1,,741
Benda,1,0.0,242
Hürzeler,1,,739
Maresca,1,,740
Maupay,1,0.0,229
Zouma,1,0.0,532
