id,first_name,second_name,web_name,team,full_name
248,bernd,leno,leno,9,bernd leno
249,sasa,lukic,lukic,9,sasa lukic
250,kevin,mbabu,mbabu,9,kevin mbabu
251,rodrigo,muniz carvalho,muniz,9,rodrigo muniz carvalho
252,raul,jimenez,raul,9,raul jimenez
253,tim,ream,ream,9,tim ream
254,harrison,reed,reed,9,harrison reed
255,antonee,robinson,robinson,9,antonee robinson
256,jay,stansfield,stansfield,9,jay stansfield
257,kenny,tete,tete,9,kenny tete
258,carlos vinicius,alves morais,vinicius,9,carlos vinicius alves morais
259,harry,wilson,wilson,9,harry wilson
579,ryan,sessegnon,sessegnon,9,ryan sessegnon
586,jorge,cuenca barreno,jcuenca,9,jorge cuenca barreno
604,josh,king,king,9,josh king
605,martial,godo,godo,9,martial godo
622,sander,berge,berge,9,sander berge
690,samuel,amissah,amissah,9,samuel amissah
753,marco alexandre,saraiva da silva,silva,9,marco alexandre saraiva da silva
772,willian,borges da silva,willian,9,willian borges da silva
121,julio,enciso,enciso,10,julio enciso
260,ali,al-hamadi,al-hamadi,10,ali al-hamadi
261,elkan,baggott,baggott,10,elkan baggott
262,nathan,broadhead,broadhead,10,nathan broadhead
263,cameron,burgess,burgess,10,cameron burgess
264,wes,burns,burns,10,wes burns
265,conor,chaplin,chaplin,10,conor chaplin
266,harry,clarke,hclarke,10,harry clarke
267,leif,davis,davis,10,leif davis
268,liam,delap,delap,10,liam delap
269,george,edmundson,edmundson,10,george edmundson
270,jacob,greaves,greaves,10,jacob greaves
271,marcus,myers-harness,harness,10,marcus myers-harness
272,george,hirst,hirst,10,george hirst
273,cameron,humphreys,humphreys,10,cameron humphreys
274,omari,giraud-hutchinson,hutchinson,10,omari giraud-hutchinson
275,ben,johnson,johnson,10,ben johnson
276,freddie,ladapo,ladapo,10,freddie ladapo
277,massimo,luongo,luongo,10,massimo luongo
278,sam,morsy,morsy,10,sam morsy
279,corrie,ndaba,ndaba,10,corrie ndaba
280,cieran,slicker,slicker,10,cieran slicker
281,jack,taylor,taylor,10,jack taylor
282,axel,tuanzebe,tuanzebe,10,axel tuanzebe
283,christian,walton,walton,10,christian walton
284,luke,woolfenden,woolfenden,10,luke woolfenden
359,kalvin,phillips,phillips,10,kalvin phillips
568,arijanet,muric,muric,10,arijanet muric
569,jaden,philogene,jaden,10,jaden philogene
583,conor,townsend,townsend,10,conor townsend
611,sam,szmodics,szmodics,10,sam szmodics
619,jens,cajuste,cajuste,10,jens cajuste
630,dara,oshea,oshea,10,dara oshea
631,jack,clarke,jclarke,10,jack clarke
632,chiedozie,ogbene,ogbene,10,chiedozie ogbene
715,ben,godfrey,godfrey,10,ben godfrey
743,kieran,mckenna,mckenna,10,kieran mckenna
764,alex,palmer,palmer,10,alex palmer
799,somto,boniface,boniface,10,somto boniface
800,tom,taylor,tom taylor,10,tom taylor
117,facundo,buonanotte,buonanotte,11,facundo buonanotte
192,jordan,ayew,jayew,11,jordan ayew
198,odsonne,edouard,edouard,11,odsonne edouard
285,boubakary,soumare,bsoumare,11,boubakary soumare
286,tom,cannon,cannon,11,tom cannon
287,hamza,choudhury,choudhury,11,hamza choudhury
288,conor,coady,coady,11,conor coady
289,patson,daka,daka,11,patson daka
290,bobby,de cordova-reid,de cordova-reid,11,bobby de cordova-reid
291,wout,faes,faes,11,wout faes
292,michael,golding,golding,11,michael golding
293,mads,hermansen,hermansen,11,mads hermansen
294,daniel,iversen,iversen,11,daniel iversen
295,james,justin,justin,11,james justin
296,victor,kristiansen,kristiansen,11,victor kristiansen
297,wanya,marcal-madivadua,marcal,11,wanya marcal-madivadua
298,stephy,mavididi,mavididi,11,stephy mavididi
299,kasey,mcateer,mcateer,11,kasey mcateer
