web_name,gw,npxG,player_id
Matthews,1,0.0,209
Ozoh,1,0.0,212
Rak-Sakyi,1,0.0,695
Schlupp,1,0.0,214
Fábio Silva,1,0.0,545
Leno,1,0.0,248
Mbabu,1,0.0,250
Ream,1,0.0,253
Stansfield,1,0.0,256
Chadi Riad,1,0.0,195
Clyne,1,0.0,196
Ebiowei,1,0.0,197
Henderson,1,0.0,201
Sarmiento,1,0.0,141
Steele,1,0.0,142
Undav,1,0.0,143
Verbruggen,1,0.0,146
Webster,1,0.0,147
Andrey Santos,1,0.0,150
Ângelo,1,0.0,151
B.Badiashile,1,0.0,153
Godo,1,0.0,605
Alves,1,0.0,606
Kozlowski,1,0.0,130
Mazilu,1,0.0,133
Moder,1,0.0,137
O’Mahony,1,0.0,138
Offiah,1,0.0,139
Peupion,1,0.0,140
Jørgensen,1,0.0,581
Townsend,1,0.0,583
J.Cuenca,1,0.0,586
J.Araujo,1,0.0,592
Bogarde,1,0.0,598
Dennis,1,0.0,599
Moran,1,0.0,601
Trevitt,1,0.0,602
Gilchrist,1,0.0,170
Kellyman,1,0.0,173
Lukaku,1,0.0,175
M.Sarr,1,0.0,176
Marc Guiu,1,0.0,178
Petrović,1,0.0,183
Sánchez,1,0.0,185
Ahamada,1,0.0,190
G.Nunes,1,,634
Meupiyou,1,,637
Oulad M'hand,1,,638
Setford,1,,639
Swinkels,1,,640
Zych,1,,641
Casey,1,,643
Umeh-Chibueze,1,,644
Lankshear,1,0.0,609
Metcalfe,1,0.0,614
Rushworth,1,0.0,615
Begovic,1,,624
Kaboré,1,,626
Dixon,1,,627
Ogbene,1,,632
Valdimarsson,1,0.0,109
Zanka,1,0.0,112
Baker-Boaitey,1,0.0,114
Barco,1,0.0,116
Cozier-Duberry,1,0.0,118
Dahoud,1,0.0,119
Gross,1,0.0,125
I.Osman,1,0.0,127
Bergström,1,0.0,154
Bettinelli,1,0.0,155
Casadei,1,0.0,158
Chilwell,1,0.0,160
Mee,1,0.0,100
Onyeka,1,0.0,102
Peart-Harris,1,0.0,103
Toney,1,0.0,108
Paulsen,1,0.0,75
Travers,1,0.0,84
Brierley,1,0.0,87
Dasilva,1,0.0,90
Flekken,1,0.0,91
Henry,1,0.0,92
Hickey,1,0.0,93
Ji-soo,1,0.0,96
Amass,1,,670
Wright,1,,671
Simpson-Pusey,1,,672
Faivre,1,0.0,66
H.Traorè,1,0.0,67
Mepham,1,0.0,72
Jaros,1,,660
Yogane,1,,661
Nichols,1,,662
Samuels,1,,663
Pond,1,,664
Kporha,1,,666
Fletcher,1,,667
Cahill,1,,668
Agbinone,1,,646
Rodney,1,,647
Wheatley,1,,648
Meghoma,1,,649
Kacurri,1,,657
Heaven,1,,658
Kabia,1,,659
Orford,1,,701
Alleyne,1,,703
Brits,1,,704
Arthur,1,,705
Abbott,1,,706
Rees-Dottin,1,,707
Wilson-Brown,1,,708
Kukonki,1,,691
Nallo,1,,692
O'Brien-Whitmarsh,1,,693
Cartwright,1,,694
Mubama,1,,698
Dorrington,1,,699
Olusesi,1,,683
Hardy,1,,684
Slater,1,,685
Mayers,1,,686
Winterburn,1,,687
Nyoni,1,,688
Williams-Barnett,1,,689
Amissah,1,,690
Fitzgerald,1,,673
Wilson-Esbrand,1,,675
Marsh,1,,676
Bates,1,,678
Broggio,1,,679
Kinsey,1,,680
McConville,1,,681
Porter,1,,756
Knight,1,,758
Eyestone,1,,759
Cassanova,1,,760
Cashin,1,,763
Jack Henry-Francis,1,,793
Nuno,1,,747
Rusk,1,,748
Postecoglou,1,,749
Potter,1,,750
Pereira,1,,751
Frank,1,,752
Silva,1,,753
Van Nistelrooy,1,,754
Hürzeler,1,,739
Maresca,1,,740
Glasner,1,,741
Moyes,1,,742
Slot,1,,744
Amorim,1,,745
Howe,1,,746
Nedeljkovic,1,0.0,50
Olsen,1,0.0,51
Sinisalo,1,0.0,55
Sousa,1,0.0,56
Aarons,1,0.0,59
Anthony,1,0.0,61
Emery,1,,737
Iraola,1,,738
Worrall,1,0.0,448
Shaw,1,0.0,387
A.Murphy,1,0.0,390
Botman,1,0.0,393
Dúbravka,1,0.0,396
Hayden,1,0.0,400
Krafth,1,0.0,405
Omobamidele,1,0.0,440
Panzo,1,0.0,441
Sangaré,1,0.0,442
Sels,1,0.0,443
Toffolo,1,0.0,444
Turner,1,0.0,445
Ui-jo,1,0.0,446
Bowler,1,0.0,426
C.Miguel,1,0.0,427
Da Silva Moreira,1,0.0,428
Danilo,1,0.0,429
Mighten,1,0.0,435
O.Richards,1,0.0,438
Freddie Simmonds,1,,794
Harry Howell,1,,795
Olabade Aluko,1,,796
Jake Evans,1,,797
Jay Robinson,1,,798
Boniface,1,,799
Tom Taylor,1,,800
Haaland,2,1.0,351
Wissa,2,0.0,110
Isak,2,0.3,401
M.Salah,2,0.5,328
Watkins,2,0.9,58
Palmer,2,0.7,182
N.Jackson,2,0.2,180
Luis Díaz,2,0.9,327
Mateta,2,0.4,207
Evanilson,2,0.7,617
Wood,2,0.2,447
Solanke,2,0.0,82
I.Sarr,2,0.1,585
Johnson,2,0.2,275
Strand Larsen,2,0.6,566
Havertz,2,0.3,4
Semenyo,2,0.3,78
Madueke,2,0.5,177
Eze,2,0.5,199
Mitoma,2,0.0,136
Raúl,2,0.0,252
Vardy,2,0.0,306
O.Dango,2,0.3,74
Welbeck,2,1.2,148
Schade,2,0.0,106
Delap,2,0.0,268
Cunha,2,0.9,541
Diogo J.,2,0.6,317
Trossard,2,0.2,23
Bowen,2,0.1,514
Mbeumo,2,0.0,99
B.Fernandes,2,0.1,366
Garnacho,2,0.7,372
Gakpo,2,0.0,321
Szoboszlai,2,0.1,336
Barnes,2,0.2,392
Martinelli,2,0.0,9
Kudus,2,0.1,525
Gordon,2,0.6,398
Calvert-Lewin,2,0.1,220
Enzo,2,0.0,168
Beto,2,0.0,218
