web_name,gw,SiB,player_id
Nørgaard,2,1,101
Ødegaard,2,1,13
J.Murphy,2,0,402
Tavernier,2,1,83
M.Fernandes,2,0,623
Rashford,2,0,385
Virgil,2,1,339
Bruno G.,2,1,394
L.Paquetá,2,2,527
Højlund,2,0,375
Mac Allister,2,0,329
Buonanotte,2,0,117
Damsgaard,2,0,89
Marmoush,2,,755
De Bruyne,2,0,345
Jones,2,0,324
Harrison,2,2,224
Ndidi,2,1,300
Nkunku,2,0,181
J.Ayew,2,0,192
Adingra,2,1,113
Gabriel,2,0,3
Armstrong,2,1,603
J.Gomes,2,0,553
Tielemans,2,0,57
Wilson,2,0,259
N.Williams,2,2,437
Burn,2,2,395
G.Jesus,2,0,2
Sancho,2,0,386
Harwood-Bellis,2,0,461
Szmodics,2,0,611
McGinn,2,0,48
Bailey,2,1,28
Justin,2,0,295
De Ligt,2,0,593
O'Shea,2,,630
Tel,2,,768
Konaté,2,2,326
Kamaldeen,2,0,462
Doku,2,0,346
Yates,2,0,449
Tete,2,1,257
Jota Silva,2,0,596
Mavididi,2,0,298
Richarlison,2,0,497
Ayari,2,1,600
Anderson,2,1,423
Dalot,2,0,369
Van den Berg,2,0,338
Dibling,2,0,608
Romero,2,3,498
Enciso,2,0,121
Hutchinson,2,0,274
Casemiro,2,1,368
Collins,2,2,88
Cucurella,2,0,163
Colwill,2,0,162
Christie,2,0,63
Antonio,2,2,512
Tarkowski,2,3,236
Enes Ünal,2,0,65
Füllkrug,2,2,589
O'Riley,2,,629
Schär,2,0,415
Lerma,2,0,206
João Félix,2,2,621
Aribo,2,0,452
Mavropanos,2,0,528
Willock,2,1,420
Tonali,2,0,417
M.Asensio,2,,762
Brooks,2,0,62
Guéhi,2,0,200
Nwaneri,2,0,12
Andersen,2,0,191
Lewis-Potter,2,0,98
Walker-Peters,2,1,476
Martinez,2,0,47
Bentancur,2,0,480
Lindstrøm,2,1,577
Summerville,2,0,587
Andreas,2,0,240
Gündogan,2,0,625
Wan-Bissaka,2,0,388
Daka,2,0,289
Alexander-Arnold,2,1,311
Grealish,2,1,349
Huijsen,2,0,580
Murillo,2,0,436
Kilman,2,1,524
Munetsi,2,,770
Ings,2,0,523
Hinshelwood,2,0,126
Maguire,2,1,377
Sessegnon,2,0,579
Ramsey,2,1,53
Van Hecke,2,0,144
Chalobah,2,0,159
P.M.Sarr,2,0,499
C.Soler,2,,654
Malen,2,,725
Onana,2,1,233
McNeil,2,1,230
Tosin,2,0,187
Robertson,2,2,335
Nelson,2,0,10
Jaden,2,0,569
J.Timber,2,0,6
Mitchell,2,0,210
Bellegarde,2,0,535
El Khannouss,2,,635
Maatsen,2,0,45
Barkley,2,0,29
Kerkez,2,0,70
Kamada,2,0,205
C.Richards,2,1,194
Dunk,2,0,120
Sinisterra,2,1,80
Pedro Porro,2,0,495
Doherty,2,0,543
Faes,2,3,291
Sarabia,2,0,565
Guedes,2,0,548
Alcaraz,2,0,450
Janelt,2,0,94
Bassey,2,0,241
Burgess,2,0,263
Rúben,2,0,361
McAtee,2,0,357
Zabarnyi,2,0,85
Pinnock,2,0,104
Kovačić,2,0,354
Mount,2,1,382
Awoniyi,2,0,424
Carvalho,2,0,314
Hirst,2,0,272
Elliott,2,0,319
Estupiñan,2,0,122
Sugawara,2,0,474
Brereton Díaz,2,0,584
Ajer,2,0,86
Dominguez,2,0,431
Mings,2,0,49
Lewis,2,1,355
Greaves,2,0,270
Bradley,2,0,313
J.Clarke,2,,631
McAteer,2,0,299
Branthwaite,2,0,219
Mario Jr.,2,1,557
Emerson,2,0,520
Konsa,2,0,44
Hall,2,0,399
Mykolenko,2,0,231
Keane,2,0,228
Ugarte,2,,652
Chaplin,2,0,265
Odobert,2,1,612
Castagne,2,0,244
Lukić,2,0,249
Thomas,2,0,20
Dorgu,2,,766
Scott,2,0,77
Gusto,2,0,171
Sosa,2,0,620
Calafiori,2,0,578
O’Reilly,2,0,607
Broadhead,2,0,262
Ferguson,2,0,123
Almirón,2,0,391
Davis,2,0,267
Mazraoui,2,0,594
Baleba,2,0,115
N.Semedo,2,0,559
Toti,2,0,567
Ugochukwu,2,0,188
Bergvall,2,0,481
Mainoo,2,0,378
Saliba,2,0,18
Pau,2,0,52
Sterling,2,0,186
Wieffer,2,0,149
Van de Ven,2,0,506
Dawson,2,0,542
Longstaff,2,0,410
Zinchenko,2,0,25
Mangala,2,,651
