web_name,gw,tpa,player_id
Johnson,2,6,275
Evanilson,2,4,617
Kluivert,2,3,71
Son,2,3,503
Barnes,2,4,392
Solanke,2,0,82
Sancho,2,0,386
Iwobi,2,3,247
Neto,2,2,73
Vardy,2,0,306
Ødegaard,2,8,13
Havertz,2,4,4
Strand Larsen,2,4,566
Szoboszlai,2,5,336
Muñoz,2,2,211
Elanga,2,5,432
Souček,2,6,530
Wood,2,4,447
Gvardiol,2,1,350
Gakpo,2,1,321
Welbeck,2,4,148
Diogo J.,2,6,317
Eze,2,6,199
Mateta,2,3,207
Aït-Nouri,2,2,533
J.Murphy,2,0,402
Delap,2,2,268
Adama,2,5,239
Calvert-Lewin,2,1,220
Gibbs-White,2,6,433
Joelinton,2,1,403
Foden,2,0,348
Georginio,2,0,618
Bruno G.,2,1,394
Ndiaye,2,5,232
Merino,2,,633
Beto,2,0,218
Enzo,2,2,168
Hutchinson,2,0,274
Rice,2,2,16
De Bruyne,2,3,345
Damsgaard,2,0,89
B.Fernandes,2,4,366
Maddison,2,4,494
Cucurella,2,0,163
Ramsey,2,3,53
Grealish,2,3,349
Robinson,2,1,255
Hudson-Odoi,2,4,434
Bailey,2,1,28
Lewis-Potter,2,0,98
Darwin,2,1,316
Onuachu,2,0,470
Dalot,2,0,369
Højlund,2,0,375
Adingra,2,2,113
Nketiah,2,0,11
Rashford,2,2,385
Collins,2,2,88
Harrison,2,2,224
Kerkez,2,1,70
Anderson,2,3,423
J.Timber,2,1,6
Ndidi,2,1,300
A.Doucoure,2,2,217
Mavididi,2,0,298
Gündogan,2,2,625
Mac Allister,2,4,329
Marmoush,2,,755
Walker-Peters,2,3,476
Milenković,2,3,573
L.Paquetá,2,2,527
Tarkowski,2,5,236
Smith Rowe,2,4,19
Nkunku,2,0,181
Zirkzee,2,2,389
Muniz,2,8,251
Kamaldeen,2,0,462
Jones,2,0,324
Matheus N.,2,0,356
Wilson,2,3,259
Burn,2,5,395
Robertson,2,3,335
McGinn,2,0,48
Willock,2,3,420
Tavernier,2,1,83
Archer,2,0,27
Nørgaard,2,1,101
O'Shea,2,,630
Armstrong,2,3,603
Udogie,2,2,505
G.Jesus,2,0,2
M.Fernandes,2,2,623
Virgil,2,1,339
Wan-Bissaka,2,0,388
J.Ayew,2,0,192
Duran,2,2,38
Hall,2,1,399
Lewis,2,10,355
Bellegarde,2,1,535
Jota Silva,2,0,596
Christie,2,1,63
Alexander-Arnold,2,4,311
Aribo,2,3,452
Lacroix,2,,650
Ayari,2,1,600
Van den Berg,2,0,338
Andreas,2,1,240
Mitchell,2,2,210
Maatsen,2,0,45
O'Riley,2,,629
Sessegnon,2,0,579
Gusto,2,1,171
J.Gomes,2,0,553
Tielemans,2,0,57
Lindstrøm,2,1,577
Tonali,2,0,417
Buonanotte,2,1,117
Maguire,2,1,377
Gabriel,2,0,3
Harwood-Bellis,2,0,461
Yates,2,0,449
N.Williams,2,2,437
Casemiro,2,3,368
Nwaneri,2,0,12
Dibling,2,0,608
Guéhi,2,0,200
Cash,2,2,32
Enciso,2,1,121
Sterling,2,0,186
Davis,2,2,267
Justin,2,0,295
Ajer,2,1,86
Mainoo,2,1,378
Summerville,2,0,587
Bradley,2,1,313
Antonio,2,3,512
Colwill,2,0,162
Füllkrug,2,3,589
Livramento,2,0,409
Nelson,2,0,10
Brooks,2,0,62
Tete,2,2,257
Werner,2,0,509
Szmodics,2,0,611
Gruda,2,0,595
Schär,2,0,415
Castagne,2,0,244
Jaden,2,0,569
Kilman,2,1,524
Pedro Porro,2,0,495
Janelt,2,1,94
Odobert,2,7,612
Estupiñan,2,0,122
El Khannouss,2,,635
Tel,2,,768
Munetsi,2,,770
Guedes,2,0,548
João Félix,2,2,621
De Ligt,2,0,593
Dominguez,2,0,431
J.Clarke,2,,631
Kamada,2,0,205
Richarlison,2,0,497
Huijsen,2,0,580
Van Hecke,2,2,144
Thomas,2,0,20
Mykolenko,2,0,231
Ings,2,0,523
Digne,2,0,36
Sugawara,2,0,474
Calafiori,2,0,578
Hinshelwood,2,2,126
Emerson,2,0,520
Lerma,2,0,206
Doherty,2,3,543
R.Gomes,2,1,563
Mazraoui,2,2,594
P.M.Sarr,2,1,499
Daka,2,0,289
Faes,2,3,291
M.Asensio,2,,762
N.Semedo,2,0,559
A.Fatawu,2,2,570
Branthwaite,2,0,219
Rúben,2,0,361
Enes Ünal,2,0,65
Hirst,2,0,272
Gravenberch,2,0,323
Burgess,2,0,263
Dorgu,2,,766
Pinnock,2,0,104
Bentancur,2,0,480
McAteer,2,0,299
Chalobah,2,0,159
Spence,2,1,504
Hee Chan,2,1,550
Konaté,2,2,326
Sarabia,2,2,565
Ugochukwu,2,0,188
Mavropanos,2,1,528
Romero,2,3,498
Sinisterra,2,2,80
McNeil,2,2,230
Malen,2,,725
Mount,2,1,382
Murillo,2,2,436
Onana,2,1,233
C.Soler,2,,654
Carvalho,2,1,314
Awoniyi,2,1,424
Bergvall,2,0,481
McAtee,2,1,357
White,2,1,24
Andersen,2,0,191
Longstaff,2,1,410
Manning,2,0,467
Dunk,2,0,120
Brereton Díaz,2,2,584
Konsa,2,1,44
Aina,2,1,422
Cook,2,0,64
Alcaraz,2,0,450
Roerslev,2,0,105
Gana,2,0,222
Elliott,2,1,319
Greaves,2,0,270
Mario Jr.,2,1,557
Broja,2,0,156
Martinez,2,0,47
B.Soumaré,2,0,285
Bassey,2,0,241
Broadhead,2,0,262
Burns,2,0,264
Scott,2,0,77
Saliba,2,0,18
Barkley,2,0,29
Downes,2,1,518
O'Brien,2,0,582
Zinchenko,2,0,25
C.Richards,2,1,194
Kovačić,2,0,354
Adams,2,0,60
O’Reilly,2,0,607
Lukić,2,0,249
Ferguson,2,0,123
Keane,2,1,228
Sosa,2,0,620
Mings,2,0,49
Pau,2,0,52
Caicedo,2,0,157
Toti,2,1,567
Hughes,2,0,203
Akanji,2,1,340
Ugarte,2,,652
Eriksen,2,0,370
Yarmoliuk,2,0,111
De Cordova-Reid,2,0,290
Cairney,2,0,243
Kristiansen,2,0,296
Forbs,2,,655
Davies,2,0,669
Zabarnyi,2,0,85
Bednarek,2,0,455
Smallbone,2,0,471
Lewis-Skelly,2,0,597
Dawson,2,0,542
Edouard,2,6,198
Wieffer,2,0,149
Álvarez,2,0,511
Tosin,2,0,187
Yoro,2,0,572
Mangala,2,,651
Chaplin,2,0,265
Diop,2,1,245
Moore,2,0,610
Philip,2,0,76
Kayode,2,,757
Baleba,2,0,115
Tsimikas,2,0,337
Berge,2,0,622
Trippier,2,0,418
Dragusin,2,0,486
Iroegbunam,2,2,226
Cajuste,2,0,619
Senesi,2,1,79
Stephens,2,0,472
Wharton,2,0,216
Coufal,2,0,516
Lamptey,2,0,131
W.Fofana,2,0,189
Bree,2,0,457
Vestergaard,2,2,307
Okoli,2,0,301
Todibo,2,0,591
Jebbison,2,0,69
Ward-Prowse,2,0,531
Jensen,2,0,95
Garner,2,0,223
Veltman,2,0,145
F.Kadıoğlu,2,,628
Almirón,2,0,391
Al-Hamadi,2,0,260
Young,2,0,656
Edozie,2,2,459
Van de Ven,2,0,506
Coady,2,0,288
N.Gonzalez,2,,765
Alex Moreno,2,0,26
Antony,2,1,365
Obi,2,,776
Webster,2,0,147
Kamara,2,0,42
George,2,,696
Taylor,2,0,281
Danso,2,,767
Hill,2,0,68
King,2,0,604
Mosquera,2,1,558
Devenny,2,,645
Gómez,2,,714
Scarles,2,,677
Willian,2,,772
Esse,2,,730
Skipp,2,0,501
Dewsbury-Hall,2,0,166
Disasi,2,0,167
Sangaré,2,2,442
Lallana,2,0,463
Godo,2,0,605
Ogbene,2,,632
Diego Carlos,2,0,35
Stewart,2,0,473
S.Bueno,2,0,564
James,2,0,172
Smith,2,0,81
Miley,2,0,411
Phillips,2,0,359
Schlupp,2,0,214
Botman,2,0,393
Mudryk,2,0,179
Tuanzebe,2,0,282
Townsend,2,0,583
Quansah,2,0,333
Aké,2,0,341
Walker,2,0,363
